#Data,Import,Orgànica,Àrea CA,Funcional,Econòmica,Nom terc.,Text lliure,Document
2021-12-17,91.92,16,Serveis socials,,,"DISA PENINSULA, S.L.U.",BENZINA VEHICLE SERVEIS SOCIALS NOVEMBRE 2021,EUROSHELL 840397517
2021-12-17,2159.85,18,Serveis de manteniment d'edificis i inversions,,,"ECOCLIMA VALLÈS, SL",SUBSTITUCIÓ D'UN EQUIP DE CLIMATITZACIÓ A LA SALA DE SERVIDORS,PI-53
2021-12-17,5.11,17,Ocupació,,,"EDEN SPRINGS ESPAÑA, SAU",SUBMINISTRE AIGUA -NOVEMBRE 2021-,75 75/04339617
2021-12-17,9.16,02,Serveis generals,,,"EDEN SPRINGS ESPAÑA, SAU",SUBMINISTRE AIGUA -NOVEMBRE 2021-,75 75/04339617
2021-12-17,18.91,17,Ocupació,,,"EDEN SPRINGS ESPAÑA, SAU",SUBMINISTRE AIGUA -NOVEMBRE 2021-,75 75/04339617
2021-12-17,48.05,12,Àrea d'atenció a les persones,,,"EDEN SPRINGS ESPAÑA, SAU",SUBMINISTRE AIGUA -NOVEMBRE 2021-,75 75/04339617
2021-12-17,66.07,11,Educació,,,"EDEN SPRINGS ESPAÑA, SAU",SUBMINISTRE AIGUA -NOVEMBRE 2021-,75 75/04339617
2021-12-17,72.07,20,Promoció econòmica,,,"EDEN SPRINGS ESPAÑA, SAU",SUBMINISTRE AIGUA -NOVEMBRE 2021-,75 75/04339617
2021-12-17,176.63,02,Serveis generals,,,"EDEN SPRINGS ESPAÑA, SAU",SUBMINISTRE AIGUA -NOVEMBRE 2021-,75 75/04339617
2021-12-17,5230.43,06,Serveis municipals i via pública,,,"EL CEDRE JARDINERIA, SL",PLANTACIÓ ARBUSTIVA JARDINERES RAMBLA I AVDA SENTMENAT,21 210867
2021-12-17,578.99,18,Serveis de manteniment d'edificis i inversions,,,"EL CEDRE JARDINERIA, SL",MANTENIMENT ZONES VERDES AVINGUDA SENTMENAT NOVEMBRE 2021,21 210907
2021-12-17,176.79,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC CENTRE CIVIC DE 31-07-2021 A 31-08-2021,082000255883 1471 PKZ101Y0001709
2021-12-17,284.79,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC CENTRE CIVIC DE 31-08-2021 A 30-09-2021,082000255883 1499 PPR101N0122340
2021-12-17,128.11,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC CENTRE CIVIC DE 30-09-2021 A 31-10-2021,082000255883 1505 PPR101N0126750
2021-12-17,723.1,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ESCOLA PERE CALDERS DE 30-09-2021 A 31-10-2021,082001588339 1194 PPR101N0122869
2021-12-17,165.79,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DE 31-08-2021 A 31-10-2021,082020693111 0646 PNR101N0293512
2021-12-17,18.54,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL. PUBLIC DE 31-08-2021 A 30-09-2021,082020695214 0802 PNR101N0270669
2021-12-17,16.69,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DE 30-09-2021 A 31-10-2021,082020695214 0817 PNR101N0293513
2021-12-17,359.99,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DE 30-06-2021 A 01-09-2021,082020696511 0534 PNR101N0286132
2021-12-17,367.07,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DE 01-09-2021 A 02-11-2021,082020696511 0549 PNR101N0298050
2021-12-17,81.68,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DE 31-08-2021 A 30-09-2021,082020697625 0821 PNR101N0270670
2021-12-17,71.21,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DE 30-09-2021 A 31-10-2021,082020697625 0836 PNR101N0297930
2021-12-17,54.65,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL. PUBLIC DE 31-08-2021 A 30-09-2021,082020698411 0810 PNR101N0270671
2021-12-17,37.64,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL. PUBLIC DE 30-09-2021 A 31-10-2021,082020698411 0825 PNR101N0293514
2021-12-17,27.17,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENNL. PUBLIC DE 31-08-2021 A 30-09-2021,082020703834 0825 PNR101N0270672
2021-12-17,116.41,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DE 30-09-2021 A 31-10-2021,082020703834 0831 PNR101N0293515
