#Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
16,231,48005,,2400.0,3040.0,5440.0,2455.0
16,231,48900,,6000.0,6000.0,12000.0,2500.0
16,231,48901,,500.0,,500.0,400.0
16,231,62501,,100.0,,100.0,
17,241,13000,,26722.0,,26722.0,13238.88
17,241,13002,,37945.0,,37945.0,19323.49
17,241,13100,,65262.0,,65262.0,32915.99
17,241,14100,,,55137.79,55137.79,491.15
17,241,15000,,2400.0,,2400.0,
17,241,15100,,,,,
17,241,16000,,39020.0,,39020.0,21731.67
17,241,16002,,,36071.83,36071.83,
17,241,21500,,1500.0,13.13,1513.13,1026.64
17,241,22000,,500.0,,500.0,357.82
17,241,22199,,1000.0,,1000.0,6.6
17,241,22200,,1200.0,,1200.0,504.57
17,241,22602,,1500.0,,1500.0,87.12
17,241,22605,,20000.0,12520.0,32520.0,7913.14
17,241,22606,,,28371.65,28371.65,
17,241,22707,,5000.0,2157.46,7157.46,5614.7
17,241,35800,,820.0,,820.0,362.14
17,241,47000,,10000.0,15000.0,25000.0,
17,241,62501,,1000.0,,1000.0,
17,241,64800,,4200.0,,4200.0,1957.48
17,242,13000,,31036.0,,31036.0,13432.14
17,242,13002,,30069.0,,30069.0,13944.77
17,242,15000,,1200.0,,1200.0,
17,242,16000,,18601.0,,18601.0,8004.61
17,242,22707,,2000.0,13110.6,15110.6,12917.55
18,164,21200,,2000.0,2974.18,4974.18,
18,165,21000,,,,,
18,165,22100,,155000.0,19263.52,174263.52,69753.46
18,171,21000,,15000.0,,15000.0,186.76
18,171,21500,,10000.0,,10000.0,
18,231,21200,,500.0,,500.0,240.0
18,231,22100,,3000.0,,3000.0,349.4
18,333,21200,,4000.0,72.6,4072.6,163.35
18,333,22100,,3500.0,297.18,3797.18,1872.75
18,333,22102,,9000.0,542.6,9542.6,3313.73
18,337,21200,,3000.0,,3000.0,802.76
18,337,22100,,5500.0,840.01,6340.01,2232.21
18,342,20500,,100.0,,100.0,
18,342,21200,,35000.0,4156.51,39156.51,5246.18
18,342,21300,,100.0,,100.0,
18,342,22100,,25000.0,1338.86,26338.86,6439.0
18,342,22102,,15000.0,1990.07,16990.07,4118.59
18,342,22199,,300.0,,300.0,
18,430,21200,,18000.0,,18000.0,5302.03
18,430,22100,,16000.0,1087.45,17087.45,4411.62
18,451,13000,,69221.0,,69221.0,35027.23
18,451,13002,,143096.0,,143096.0,72484.14
18,451,13100,,24331.0,,24331.0,7247.23
18,451,15000,,4200.0,,4200.0,
18,451,15100,,5000.0,,5000.0,
18,451,16000,,83579.0,,83579.0,32971.69
18,451,20200,,22000.0,,22000.0,9662.64
18,451,20300,,100.0,,100.0,
18,451,20400,,100.0,,100.0,
18,451,21200,,2500.0,,2500.0,355.74
18,451,21300,,1000.0,223.0,1223.0,223.0
18,451,21400,,4000.0,18.15,4018.15,3836.74
18,451,21500,,,239.0,239.0,239.0
18,451,22100,,3500.0,343.18,3843.18,1640.55
18,451,22103,,5000.0,209.02,5209.02,1439.74
18,451,22104,,4500.0,,4500.0,625.79
18,451,22199,,80000.0,1194.17,81194.17,22022.81
18,451,22200,,1000.0,75.63,1075.63,358.28
18,459,21000,,5000.0,,5000.0,
18,920,21200,,29000.0,8488.46,37488.46,5888.31
18,920,22100,,23000.0,1639.42,24639.42,7008.77
18,920,22199,,2500.0,971.93,3471.93,2707.98
18,1530,21000,,10000.0,23281.61,33281.61,28956.48
18,1530,21500,,5000.0,2508.55,7508.55,3227.68
18,1530,22199,,20000.0,-6000.0,14000.0,8825.46
18,1532,21000,,60000.0,-7202.26,52797.74,2841.5
18,1622,21200,,1500.0,5603.03,7103.03,6015.45
18,1622,22100,,1000.0,136.17,1136.17,136.17
18,1622,22200,,200.0,,200.0,125.31
18,3230,21200,,30000.0,21505.22,51505.22,12133.83
18,3230,21500,,500.0,,500.0,
18,3230,22100,,55000.0,4144.81,59144.81,19690.57
18,3230,22102,,39000.0,6812.34,45812.34,17929.99
18,3230,22104,,,1235.81,1235.81,1235.81
18,3231,21200,,36500.0,5334.2,41834.2,5167.52
18,3231,21500,,1000.0,196.75,1196.75,
18,3231,22100,,20000.0,2883.54,22883.54,7931.09
18,3231,22102,,30000.0,2364.63,32364.63,7908.61
18,3321,21200,,4000.0,,4000.0,
18,3321,21500,,500.0,,500.0,
18,3321,22100,,10000.0,723.11,10723.11,3162.02
18,9290,21200,,6000.0,4289.74,10289.74,7667.75
18,9290,22100,,4100.0,1157.86,5257.86,2519.69
18,9293,21200,,15000.0,4425.76,19425.76,7404.59
18,9293,21500,,500.0,,500.0,
18,9293,22100,,40000.0,2539.74,42539.74,11621.38
18,9293,22102,,500.0,35.83,535.83,96.03
19,231,22608,,4261.0,,4261.0,779.91
19,231,48900,,56614.0,,56614.0,4000.0
20,430,12001,,13996.0,,13996.0,6867.49
20,430,12004,,8746.0,,8746.0,8150.74
20,430,12006,,3581.0,,3581.0,2204.34
20,430,12100,,12303.0,,12303.0,8228.45
20,430,12101,,40780.0,,40780.0,26712.59
20,430,13100,,32680.0,,32680.0,16330.09
20,430,14300,,,2606.38,2606.38,5522.81
20,430,15000,,1800.0,,1800.0,
20,430,16000,,27961.0,,27961.0,17115.64
20,430,16002,,,4492.87,4492.87,2540.98
20,430,21500,,2000.0,92.41,2092.41,572.65
20,430,21900,,4800.0,,4800.0,1957.8
20,430,22000,,2000.0,332.75,2332.75,424.03
20,430,22002,,500.0,,500.0,
20,430,22199,,2500.0,,2500.0,367.3
20,430,22200,,9000.0,153.2,9153.2,554.3
20,430,22602,,2000.0,,2000.0,1911.8
20,430,22606,,7000.0,800.0,7800.0,6466.84
20,430,22608,,3000.0,15629.52,18629.52,8526.6
20,430,22706,,,12316.14,12316.14,10178.63
20,430,22707,,6000.0,19728.3,25728.3,19611.32
20,430,48900,,4500.0,380.0,4880.0,1020.0
20,430,62501,,3000.0,1037.7,4037.7,
20,430,62601,,2000.0,,2000.0,
20,942,46600,,6000.0,,6000.0,
20,942,46700,,3000.0,,3000.0,1825.0
21,337,13000,,9381.0,,9381.0,4757.32
21,337,13002,,12202.0,,12202.0,6328.89
21,337,13100,,28728.0,,28728.0,14477.24
21,337,15000,,1200.0,,1200.0,
21,337,16000,,15273.0,,15273.0,7488.33
21,337,22611,,30000.0,1833.87,31833.87,22134.59
21,337,62501,,1000.0,,1000.0,
#,,,,11628705.0,4293789.77,15922494.77,5099272.21
