#Data,Import,Orgánica,Area,Funcional,Económica,Nom terc.,Text lliure,Document
2019-01-25,319.44,09,"Comunicació, participació ciutadana i qualitat democràtica",,,"REPARTO PUBLICITARIO JC, S.C.P.",REPARTIMENT BUTLLETÍ NOVEMBRE 2018,124
2019-01-25,240.84,02,Serveis generals,,,SERVICIOS MICROINFORMÁTICA S.A.,DESTRUCTORA SERVEIS INTERNS 1a PLANTA AJUNTAMENT,18C1 027547
2019-01-25,4.84,11,Educació,,,"TELEFONICA MOVILES, SA (MOVISTAR)",CONSUM LINIA ASCENSOR ESCOLA BRESSOL BABADADOC OCTUBRE 2018,28-K8M0-410452
2019-01-30,80.0,18,Serveis de manteniment d'edificis i inversions,,,"COMUNITAT DE PROPIETARIS C/PIRINEOS, 8",1R TRIMESTRE 2019 QUOTA COMUNITAT PROPIETARIS LOCAL CREU ROJA,
2019-02-04,650.0,16,Serveis socials,,,"GARCIA IÑIGO, JUAN",LLOGUER PIS SERV.SOCIALS C/.ROMANI FEBRER 2019,003/2019
2019-02-04,550.0,16,Serveis socials,,,"MARSAL SOLER ANGEL I CIA, CB",LLOGUER PIS SOCIAL C/. CADI FEBRER 2019,2/350
2019-02-04,550.0,16,Serveis socials,,,"MARTIN LLAMAS, MARIA JESUS","LLOGUER PIS SERV. SOCIALS C/ROMANI, FEBRER 2019",008/2019
2019-02-15,1899.1,10,Joventut,,,7 D'AVENTURA S.L.,SERVEI PIJ DESEMBRE 2018,2018/E31
2019-02-15,225.0,10,Joventut,,,"AGUASCA AYNÉS, JOAQUIN",TALLER GUITARRA DESEMBRE 2018,15/018
2019-02-15,2969.34,13,Esports,,,ARES SPORT EVENTS SL,SORTIDA AL PORTAVENTURA PER FESTA DE L'ESPORT 48 PERSONES,318
2019-02-15,920.81,10,Joventut,,,"ARGOT GRÀFIC DESIGN, S.L.",TARGETONS ALCALDE I TRIPTICS JOVENTUT,18284
2019-02-15,458.33,14,Dona i igualtat,,,ASSISTÈNCIA I GESTIÓ INTEGRAL,SUPORT PSICOLÒGIC PER A DONES DESEMBRE 2018,A 2018/A/4684
2019-02-15,1494.0,02,Serveis generals,,,ASSOCIACIO CATALANA DE MUNICIPIS I COMARQUES,QUOTA ANUAL 2019,89/2019
2019-02-15,17.88,18,Serveis de manteniment d'edificis i inversions,,,ASSOCIACIÓ HORTELANS DE POLINYÀ,CONSUM AIGUA COMUNITARIA HORTS MUNICIPALS,
2019-02-15,7.67,18,Serveis de manteniment d'edificis i inversions,,,ASSOCIACIÓ HORTELANS DE POLINYÀ,CONSUM AIGUA PARCEL.LA SOCIAL Nº. 16  HORTS MUNICIPALS,
2019-02-15,5.1,20,Promoció econòmica,,,CAN GAVARRA,MATERIAL DECORACIÓ NADAL CAN GAVARRA - BESTRETA,936
2019-02-15,14.9,20,Promoció econòmica,,,CAN GAVARRA,MATERIAL DECORACIÓ NADAL CAN GAVARRA - BESTRETA,21
2019-02-15,11.75,20,Promoció econòmica,,,CAN GAVARRA,MATERIAL DECORACIÓ NADAL CAN GAVARRA - BESTRETA,22
2019-02-15,9.95,20,Promoció econòmica,,,CAN GAVARRA,MATERIAL DECORACIÓ NADAL CAN GAVARRA - BESTRETA,23
2019-02-15,12.61,07,Medi ambient,,,"CANALS BOLAÑOS, ALICIA",CÒPIES CLAUS MEDI AMBIENT,180338
2019-02-15,16.0,21,Gent gran,,,"CANALS BOLAÑOS, ALICIA",MATERIALS GENT GRAN,180374
2019-02-15,3.61,02,Serveis generals,,,"CANALS BOLAÑOS, ALICIA",COPIES DE CLAUS AJUNTAMENT,180339
2019-02-15,18.61,12,Àrea d'atenció a les persones,,,"CANALS BOLAÑOS, ALICIA",CÒPIES CLAUS ATENCIÓ A LES PERSONES,180378
2019-02-15,302.5,09,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP",FOTOS PISTA DE GEL DESEMBRE 2018,54/18
2019-02-15,302.5,10,Joventut,,,"CANO DE ARRIBAS, JOSEP","FOTOS TALLER DE CIRC DE JOVES, 3 de gener 2019",02/19
2019-02-15,302.5,10,Joventut,,,"CANO DE ARRIBAS, JOSEP",FOTOS ACTIVITAT CUPKAKES,51/18
2019-02-15,302.5,10,Joventut,,,"CANO DE ARRIBAS, JOSEP",FOTOS ACTIVITATS JOVES DESEMBRE 2018,53/18
2019-02-15,302.5,08,Cultura,,,"CANO DE ARRIBAS, JOSEP",FOTOS CAVALCADA DE REIS  5 de gener 2019,03/19
2019-02-15,302.5,09,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP",FOTOGRAFIES FIRA DE NADAL DESEMBRE 2018,52/18
2019-02-15,450.0,21,Gent gran,,,"CARRION MOLINA, FRANCISCO JOSE",CATERING 4º ZAMBOMBA 2018,002/18
2019-02-15,172.5,21,Gent gran,,,CASAL GENT GRAN,MATERIAL PER TALLERS I ACTIVITATS GENT GRAN - BESTRETA,0019
2019-02-15,1607.18,18,Serveis de manteniment d'edificis i inversions,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",CANVI COMPRESSOR SALA JOCS AVIS ROURE,181812049
2019-02-15,517.13,06,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",QUOTA MANTENIMENT CLIMA DESEMBRE 2018,182800318
2019-02-15,45.21,18,Serveis de manteniment d'edificis i inversions,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",CORRECTIU AVARIA CLIMA ROURE,181811207
2019-02-15,163.35,17,Ocupació,,,CENTRE METAL.LURGIC,MATERIALS LLIBRES DE FORMACIÓ,181446
2019-02-15,1290.0,07,Medi ambient,,,"COLOME OLIVE, FIDEL",PREPARACIÓ ALUMNES PRACTIQUES INSTITUT,3
2019-02-15,665.5,08,Cultura,,,"COLOMER MAS, MONTSERRAT",PLA D'EMERGENCIA CAP ANY 2018,1/2019
2019-02-15,269.01,15,Salut i consum ,,,"COMERCIAL DE VENTAS MACVEN, SL",ALIMENTS GATS,0021/18
2019-02-15,14.96,15,Salut i consum ,,,"COMERCIAL DE VENTAS MACVEN, SL",PRODUCTES GATS,0020/18
2019-02-15,34.86,15,Salut i consum ,,,"COMERCIAL DE VENTAS MACVEN, SL",ABONAR L'IVA DE LA FRA. 2018/1532,0008/18BIS
2019-02-15,32.84,18,Serveis de manteniment d'edificis i inversions,,,"COMERCIAL LIDER, S.A.",MATERIAL MANTENIMENT LOCAL C/.PIRINEUS ,804103537
2019-02-15,208.05,18,Serveis de manteniment d'edificis i inversions,,,"COMERCIAL LIDER, S.A.",MATERIAL MANTENIMENT ACTES FESTES CULTURALS,804103535
2019-02-15,54.78,07,Medi ambient,,,"COMERCIAL LIDER, S.A.",MATERIAL PROJECTE BÒVILA,804103536
2019-02-15,36.24,18,Serveis de manteniment d'edificis i inversions,,,"COMERCIAL LIDER, S.A.",MATERIALS PISTA DEL TURO,804103669
2019-02-15,22.54,18,Serveis de manteniment d'edificis i inversions,,,"CONFECCIONES INDUSTRIALES VALLS, SA",VESTUARI PLANS D'OCUPACIÓ,Emit- 806
